iter	Passed	Remaining
0	451	225139
1	722	179906
2	1016	168470
3	1111	137836
4	1422	140836
5	1584	130424
6	1808	127378
7	1942	119469
8	2071	112999
9	2186	107156
10	2285	101589
11	2404	97801
12	2444	91584
13	2543	88299
14	2645	85524
15	2765	83671
16	2885	81992
17	2968	79477
18	3056	77378
19	3170	76081
20	3241	73934
21	3327	72287
22	3421	70968
23	3515	69725
24	3622	68821
25	3755	68473
26	3902	68364
27	4005	67517
28	4095	66513
29	4193	65696
30	4297	65015
31	4386	64147
32	4485	63473
33	4572	62675
34	4663	61951
35	4770	61489
36	4880	61068
37	4981	60567
38	5085	60115
39	5206	59873
40	5240	58663
41	5339	58223
42	5445	57878
43	5565	57682
44	5660	57237
45	5784	57089
46	5925	57108
47	6056	57034
48	6187	56952
49	6300	56703
50	6387	56232
51	6471	55756
52	6530	55079
53	6625	54718
54	6721	54381
